"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"isobutyrylcarnitine"	183743	249900	342218	212611	258437	NA	303801	289338	349250	153937	NA	148963	811446	945951	482753	739704	NA	820310	437303	741568	874231	504606	1099344	NA	NA	NA	256816	194863	139711	317650	977701	1016569	869632	288843	737394	NA	289724	180218	145896	293931	149892	164618	2503461	1301023	1944283	483486	1627511	1768644
"isocitrate"	113442	148313	169303	95682	185193	160521	171644	292921	121818	167912	143840	123749	358476	410850	167632	516383	168163	569944	118813	171259	333311	119027	539323	214689	356436	113966	212795	110150	106851	296719	458573	499063	226236	125486	254507	311153	555753	369725	201905	371375	219515	220310	505526	241097	588311	422827	401663	892760
"isoleucine"	41067080	49026840	54435440	37939096	31937438	30375236	51848088	47891200	53775356	36013852	73049200	41978788	70562504	70949904	64078536	85382968	51508752	79096856	35965592	52596824	77782376	42040288	88192048	68136016	67582000	49096768	63668704	42438176	47962028	67706688	69544016	70003920	82571704	37324596	80184816	65414940	61643400	58016416	50340960	66438316	54684920	54709936	109999328	73953704	155409888	97050608	151676208	144637936
"isovalerylcarnitine"	1070707	1414497	1381515	1005995	1115170	1189726	1326534	1579576	1548932	923294	971629	1165218	3544404	4243224	2461268	4483353	2222193	3642653	3352108	3309811	4848838	2318311	4886136	3030528	1248206	746396	1209453	733995	385696	1537253	5088556	5592892	4480330	2092727	3410469	4167714	1719050	1320473	1244523	2142387	954914	850456	12916852	8127246	11688901	7406110	8662689	10591385
"kynurenine"	47947	114482	106893	75657	55941	45354	81330	95025	110252	70658	99849	39342	133186	196170	98923	206936	107325	175028	NA	100858	180260	115523	165734	121165	164853	60600	113705	75646	105579	145248	130132	171882	88187	93376	145801	152749	170018	142904	97157	158452	110209	101745	227070	72332	334592	207087	208096	349338
"lactate"	8222070	4341096	7596046	7495424	6439805	6285419	8957060	4170630	6999042	9938987	7432936	6435993	14812971	13379186	13269574	15262501	12194805	9379420	10959850	6883833	11977556	11680867	12397213	12101767	13502751	13728155	11576654	13985375	10754962	12415889	12892007	14854243	12760578	7305947	17671760	22111798	12350176	9668944	11871957	11067997	12525215	11642769	18764806	14635775	26191710	35763672	33964560	31574012
"lactosyl-N-palmitoyl-sphingosine"	169043	107187	119701	157568	167810	205021	184746	106085	101998	173936	146703	190193	NA	71311	86286	124235	28899	72066	65187	72449	45706	182746	53881	80148	106737	200043	124936	196205	198410	292449	65661	112603	87580	NA	NA	97024	137436	205556	105117	176276	81812	195410	58549	102361	NA	NA	62269	193583
"laurylcarnitine"	207542	369507	81941	107924	93684	93119	225592	494054	145999	171957	123572	120237	190053	191990	73327	77998	191904	205671	55793	NA	NA	NA	69980	53789	116692	136079	106881	147534	179935	170614	54097	72498	68116	34595	63682	69816	69883	70627	NA	65167	62124	54291	79099	75669	100429	111086	111605	72051
"leucine"	22422300	21073280	24433700	19034928	19841370	21254576	24780392	19363036	25950908	16775227	38056036	22376436	29779148	29430364	40307300	36598820	26564240	34858544	17179860	21100740	34852468	24905836	38938164	31023268	31195628	23931558	28328816	21386516	24093276	30365416	29917736	31171436	31941218	15992613	42746912	42566844	25366284	24745900	30472146	29343212	32285984	24619040	50929040	40455884	74202640	59473072	77773376	72124800
"linoleamide (18:2n6)"	549903616	534331040	679999104	532957888	581323008	556380864	436587456	554584896	665320512	872025728	369613088	931652224	785570496	485585792	398889920	568512832	397224896	406163392	445995456	126986664	550925760	758325376	575240448	552922368	436161856	602141184	430228992	560760448	443511232	374769504	546762944	336257600	899487744	613460544	618847744	672685312	539163712	520954336	558243648	339869952	362930016	520699040	610624192	620125184	688120768	1339309440	609741696	672454144
"lysine"	4595824	3961659	5874387	4333997	4662488	3432446	6297666	4615460	6605237	3649813	11744944	4583368	6033129	6255354	7455209	8803725	3613769	5841786	3185680	4949890	6983168	4224933	8108304	5945984	8014831	6553828	6918591	4969293	4844170	6729104	6679730	6749473	6784150	2655539	8670012	7301053	6152638	5297512	3863138	5602501	4601820	4963457	12765746	9771577	16989158	11183750	15286242	14802655
"malate"	18124578	10965018	16950864	19773808	14223897	16774552	19120242	12440016	14458189	18128926	16349732	16892848	29063948	24161888	37759132	36543676	26413780	34744672	21610666	20415986	40629600	39554824	33627588	41250620	24950666	22836934	21998834	21927068	20181416	24872188	42184448	34366800	57595212	32264666	43618012	68383960	33033228	27447644	27051250	26625536	20690430	18810196	61116072	53649332	88769016	91688184	91292888	104132240
"malonate"	8831095	8751551	8024706	7501144	6501379	8099823	7358528	8397160	10549664	7669906	8553011	7128611	7598868	10156615	9468077	8677995	6680658	8446264	7220490	8341370	9791046	10346514	10563641	8926136	7385990	7885555	9746895	7308208	9076565	9031292	9392113	12928134	11220357	7157129	7247684	12026273	10261882	8902305	7911594	6820752	9289090	9642118	93943568	12093530	11767974	12009241	12965110	11832229
"malonylcarnitine"	NA	35181	NA	11085	38348	35361	56922	56249	75768	NA	11925	27684	65899	78357	43870	80443	30533	69795	NA	NA	85517	NA	82806	39203	87650	40212	NA	36537	56090	99132	86334	93150	52556	29526	57296	86381	96316	71686	72372	51259	NA	36233	123428	46994	204825	79503	74332	170060
"mannitol/sorbitol"	13558748	9773842	9691812	13085651	9370021	9574495	12032635	9253464	10706328	10789973	11365591	9910285	17336948	14939301	14957297	17667872	13158748	13996040	9004557	9943617	13762774	14147478	17397644	15215702	15720112	17955348	15470714	14704915	18037200	16574326	25301716	25427452	32951796	16008552	32337062	32684602	26276862	21930410	22597566	23166684	23621824	22031222	39986060	36007508	43805960	53932328	55330672	45822960
"methionine"	16775758	16373812	18400636	17333308	15916933	16255186	18482984	16353215	17531316	16460458	20204674	16490083	17609984	17269232	20754972	21176742	16843764	18805422	13941437	15961069	19995696	18121800	22036670	19319712	18595660	17641854	16992620	14027675	14337540	17972396	18659880	18079964	23593208	15790458	23997212	24081064	17748928	17786080	19883798	18089040	19001000	15756776	29474022	24910608	38623176	35634880	41780636	35979388
"methionine sulfone"	60861	89882	122977	85936	93755	86432	121930	108609	100903	68592	108752	NA	122667	193820	94214	166937	127136	187155	85229	129486	161723	115366	208012	117730	130440	69195	111806	67742	107379	155811	163183	151767	122238	112566	263358	240941	138452	126292	109764	109659	121784	106943	311163	177843	395999	387241	286090	388110
"methionine sulfoxide"	470916	674073	726197	515891	907293	800804	723512	781957	752459	500347	1703182	1295842	2115799	2000326	1812348	2203025	1873469	2028073	1064336	1571764	2210768	1943537	2960941	2161534	1463907	1149981	1364484	874852	1685815	2845689	2044643	2095568	2626197	1851441	3514210	3560511	2185869	1871666	1852306	1560649	2681710	2419353	2678763	1336807	2235070	2973132	2693076	2389457
"methylphosphate"	215687	383450	200998	295185	282515	267293	149609	274053	358417	125412	327119	311525	487087	838467	749940	666224	617572	750675	164650	435830	803913	338022	1126467	933859	617729	643316	654282	364579	592762	439283	1032529	1101667	1785708	1169631	1871417	1921083	658728	802767	917269	753509	1072676	785317	2050474	1553163	3248902	2749873	4599132	3208930
"myo-inositol"	73699224	82496472	78953072	67794832	74955720	84707408	65799208	67501224	83228352	58355928	71967984	80197272	95260048	127561216	124750936	107184912	109829616	129131456	60614880	81620864	128230840	94753104	146437344	142779152	85600272	106964088	101257304	66716136	109616872	103124960	117127544	130710912	204036304	82401944	192848192	221824288	86310024	92271816	116154176	84374456	106045200	106170408	182342528	187372720	270060160	226391040	322115072	285652032
"myristoleoylcarnitine*"	157283	363290	134049	155012	161069	122298	303433	461169	228783	230529	202289	176056	168191	170480	88463	59693	175762	128161	84714	74466	65241	96718	58151	91505	125820	168649	116272	149676	202871	179029	NA	61685	59392	NA	NA	58102	NA	NA	62097	70825	NA	44332	58591	50274	50622	NA	NA	NA
"myristoyl sulfate"	4960871	10059538	4144936	19024730	19140708	4589029	9893551	16716926	9202274	4032719	8151373	4174321	5325690	5357055	21000794	16191777	11669290	8405914	14179738	8985385	4653330	3805277	4941843	15973987	19930228	4495870	9641531	10040848	9357619	12384831	4843277	13024990	5177865	32619568	4224532	5948067	13936439	5099270	8864117	9938128	12191069	4654735	15047431	23144956	7354312	4308006	10146647	12640625
"myristoylcarnitine"	551500	1208616	479538	496427	557873	609411	1090556	1549666	795372	952753	605934	644276	492971	459544	241709	274063	580641	480887	233484	195615	195406	214977	225166	264752	435672	546193	418457	539549	617215	544462	172492	188361	188173	129218	185237	187454	177778	166439	171898	157622	184530	175500	217918	200306	290580	333588	227961	234718
"N-acetyl-aspartyl-glutamate (NAAG)"	346376	479105	556963	302204	342218	340327	474483	571893	555209	368587	385201	290444	953165	1349271	665254	1522495	710515	1541902	528005	697081	1055701	548841	1202004	726579	1457531	548934	1113351	621629	683353	1217118	1365506	1634386	688573	513167	805872	858431	1109032	1039098	763799	1557532	551167	579575	1121793	623275	2009104	839967	822303	2144218
"N-acetylalanine"	316498	236132	254398	274918	266626	267490	325461	278953	303767	278865	287336	337400	436402	449213	454557	433463	400340	480462	353008	335595	471788	475614	468968	438237	493534	497473	435630	494244	480900	484534	557485	624613	848386	405867	775998	880433	590256	511088	580241	519129	520724	511742	845373	761462	1033998	1117237	1184538	1133841
"N-acetylarginine"	45888	114866	66857	NA	72167	73699	87988	119863	140889	43356	54963	45755	108070	145399	NA	149629	86540	151633	23688	58569	124675	80583	188658	74269	142471	59748	109879	73523	83429	175809	142738	160962	104906	55707	145877	148525	160050	124324	116272	120784	93572	74820	291460	112393	348826	141346	171351	358061
"N-acetylasparagine"	36932	55010	55981	NA	46708	29808	38807	102414	44340	39955	38591	37735	68907	77826	23380	112340	24920	73106	NA	NA	92296	NA	120555	45198	152308	NA	90043	NA	34150	107254	NA	86773	59313	40062	46585	61296	163948	99454	68543	157771	66595	79783	152687	69744	NA	141287	146860	112932
"N-acetylaspartate (NAA)"	34704600	25192240	23675950	32179452	25641552	26229972	29425856	22457988	25548946	28173664	25950858	27481954	53214868	49738744	48794672	62034996	45526928	48449688	34790384	37350388	47916308	53745780	60322324	55740808	43081328	52563972	43434696	45855384	46933220	43171908	58044512	55426184	74010008	36648408	72305288	79990528	54004688	42851840	43921088	48773992	43467316	41633792	80567104	75357256	78128384	108687040	96743344	85463176
"N-acetylglucosamine/N-acetylgalactosamine"	346144	673041	556314	310300	505571	545826	638752	587334	555881	334118	332232	318135	885469	1204888	533900	1042281	816744	1214649	541564	615858	988754	382785	1126397	591223	623528	312536	682593	327905	401660	735274	1104742	1538008	883149	655655	907716	1238272	939955	822279	617954	959238	481536	579996	1448581	749917	2340964	1548339	1242811	1968225
"N-acetylglucosaminylasparagine "	74508	118650	139448	68881	66481	81185	138642	180308	153590	90614	69037	65646	230045	261704	139930	312460	123706	302243	83497	105915	288170	101565	222080	141224	171654	58808	153825	84346	83809	216975	226341	324167	161970	104875	149938	266479	180682	155295	135093	206009	72215	122280	304493	200034	551585	253736	177500	544450
"N-acetylglutamate"	7532217	14658456	13435826	7892170	11415267	12067228	15751202	16692009	14799403	7526412	6684112	9289424	21974796	20531088	10647796	21888826	13285051	21824780	9949369	15845375	27857216	14121893	31061986	12078742	24094332	11930170	19679956	12176672	12586023	30161070	18930120	22204260	18165148	13564986	19935128	14634327	22945262	21279988	10109040	18211870	12647869	13181505	30853360	15652336	30026748	27455072	24750864	31879096
"N-acetylglutamine"	219754	335387	326629	174552	317938	326018	370531	581867	353809	274879	289987	232714	491775	645179	251739	618415	376323	701701	260546	274525	699294	219884	728337	260198	641935	259257	515459	299328	407387	648093	422941	746659	441323	312168	597276	628240	637536	438149	419500	652241	502985	342786	687213	352608	1389109	761972	632552	1438673
"N-acetylhistidine"	18567	NA	NA	NA	NA	NA	NA	23956	NA	20454	27913	17034	40616	48790	32289	41046	NA	53992	17838	NA	64201	NA	57090	23924	67137	24850	46553	26224	57166	74986	NA	74063	52306	14760	42719	62024	92746	62070	17360	75656	61197	NA	114610	58869	158679	85013	85219	171219
"N-acetylmethionine"	183866	186104	163943	177060	154759	156156	205286	167068	191571	192871	167883	171085	332767	355798	350079	374821	360312	374616	239808	227478	358924	326374	456900	389108	358177	344073	289829	298044	363673	315029	463146	514522	647723	313663	722268	728336	369553	328370	363341	369086	396569	351085	759318	773392	1198980	1123693	1414273	1212761
"N-acetylmethionine sulfoxide"	NA	NA	NA	NA	48666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49213	10848	48042	NA	55300	32918	40834	15007	26349	40703	45152	55131	26638	NA	25236	41699	74288	46010	25871	50424	25118	23893	373237	35441	91227	62945	62228	94714
"N-acetylneuraminate"	673811	559781	385723	575932	507863	427289	476267	350848	384387	475065	479274	470575	1072401	874031	758493	1034525	772312	664604	687123	749951	764662	1144564	1070248	805940	712493	738949	629138	613313	818171	670346	1144478	1083744	1270465	693598	1405132	1338395	1115517	874422	667375	647646	753398	597729	1795218	1586383	1786331	2561068	2687968	2171833
"N-acetylphenylalanine"	26144	30019	22058	24430	NA	38984	NA	NA	34205	NA	23376	26996	33509	23620	NA	20620	23081	33407	NA	20668	NA	NA	26065	22555	31715	28054	NA	23347	11637	28968	NA	NA	31923	20888	28958	23216	34737	29867	41765	NA	34290	32963	29803	21195	27473	NA	41154	NA
"N-acetylputrescine"	4425877	6439996	5241462	3917978	4868294	4291408	6329406	5970471	5717105	4066974	4181683	3913191	6479055	7130378	4828911	7116186	5812645	7038714	3964946	4658128	6461053	4866316	7510995	4422020	4304622	3340774	3760447	3085527	3444225	4177885	5939842	7036156	4962415	2868929	6742896	6220195	2301746	2394151	2581545	2792909	1886330	1798780	6851926	4581726	8120201	4953745	5682827	8549449
"N-acetylserine"	2715881	3810078	3355657	2471812	2541989	2545112	3156335	5240131	3840921	2788250	2878241	3342462	4778205	5979918	3677056	7088835	4006376	7485873	2674363	4308075	6522644	2734047	7832731	4521801	8321789	4770007	6018124	3950527	4695257	6933200	5360288	7997240	6793107	3220111	7504621	7683485	8203593	5681161	5315784	8194974	4353150	5404802	8721735	5487016	15033619	6859660	8123484	14870378
"N-acetyltaurine"	263448	244617	260388	255552	235953	260832	278713	285524	300137	216513	248702	251491	417933	451359	480466	406385	372779	455518	280744	303835	483558	378547	436420	447250	443827	454974	433341	398114	417126	469772	555671	557528	723341	373499	587953	647122	454774	386967	450439	372151	372390	364687	682012	767153	905140	861168	936638	816422
"N-acetylthreonine"	718450	672335	686544	689207	653507	691315	762674	675825	715735	763637	605705	726130	1042417	1053156	1044635	1063273	980659	1067919	774059	763200	1122518	940488	1146478	1080914	1133998	1197268	1114455	1078557	1132740	1133176	1259452	1301343	1780976	848405	1705081	1890544	1369017	1191840	1357137	1184350	1266366	1206969	1754515	1714315	2357621	2322694	2633110	2287272
"N-acetylvaline"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50748	NA	49352	NA	NA	NA	NA	NA	NA	NA	NA	NA	40658	42740	NA	31984	NA	NA	NA	41324	NA	NA	70505	66013	59442	40959	49281	31501	45111	NA	40775	24242	85856	45784	82990	81076	83002	72572
"N-carbamoylaspartate"	295452	345405	231614	239629	292798	367097	355123	326012	275769	217665	278054	328814	1953891	3450257	2400171	1982860	1691067	3467264	344575	509381	4146998	2989085	3826425	4860562	358019	491455	412564	368241	594923	592240	3016289	3329185	5015459	1635900	3251262	6188120	1653181	1354271	1353497	1086718	1138641	1331688	3399424	3613534	5980852	4000480	7686180	8074505
"N-delta-acetylornithine"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42523	NA	NA	64122	62890	73839	NA	66122	NA	NA	80456	57528	46527	65992	NA	NA	NA	45609	NA	NA	74398	NA	81547	NA	NA	156841	NA	31357	47584	72646	48498	NA	171575	NA	194965	230855	186520	306703
"N-formylmethionine"	131275	137123	116636	126106	128197	133592	125349	114580	116439	123264	125911	147920	230525	240543	235510	227338	235519	233947	146949	143063	259358	212547	267617	260349	213844	228006	204993	189571	209374	196676	299231	313541	390078	161397	382182	436160	262165	229050	263526	232847	248756	227451	394851	384685	521749	537201	605437	606610
"N-glycolylneuraminate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	13781	24525	NA	47169	NA	48710	57890	NA	56372	NA	NA	40196	NA	NA	36331	69184	37799	NA	28083	35127	81339	NA	40061	29330	NA	NA	20991	75007	62109	22017	NA	NA	32258	42826	NA	88788	59902	75917	100396
"N-methylproline"	202425	195810	NA	148230	103002	NA	NA	216321	156537	187853	143141	NA	251280	293280	348945	317468	93891	328781	NA	NA	288450	124280	287174	250888	318675	NA	322545	157306	255417	211228	271750	240745	325462	124397	197301	467696	176340	275095	158644	353189	219312	202026	533982	169996	597724	410088	331155	470935
"N-palmitoyl-sphingosine (d18:1/16:0)"	817436	586294	588446	830318	659794	1003925	1077741	584493	580654	856865	747207	1136148	421583	715234	619455	685851	223065	648668	507311	783915	420673	940616	555521	853425	459087	986268	504156	577644	1043908	1474882	1540654	1626336	1261920	902389	791911	2036407	1333171	1685246	876513	1418844	595630	1566334	2079666	3038241	1944307	2058819	2884805	3172410
"N-stearoyltaurine"	NA	NA	66467	NA	55808	41222	NA	NA	56616	NA	NA	NA	110267	107261	74596	92452	NA	128263	NA	NA	108219	NA	117950	121592	59961	95959	107336	57548	NA	118507	108025	115812	200854	NA	127072	148129	137249	182754	186579	137861	146983	150276	182170	152833	245480	188340	292475	276864
"N2-acetyllysine/N6-acetyllysine"	NA	95873	65874	32963	NA	51687	64835	55274	107585	33857	26417	42611	111126	82372	31181	100919	78330	105595	NA	NA	104725	85580	121638	41588	89376	NA	71416	NA	46885	72971	62072	80523	92040	NA	94009	90576	98161	98761	49782	67808	85495	73324	189770	61056	275638	137437	223245	219493
"N6,N6,N6-trimethyllysine"	439871	725000	616793	378136	379789	344160	665261	776259	672543	447934	584775	483470	832818	959851	529972	908671	441017	826780	307649	526856	840722	402856	1016421	606420	1128240	694058	837974	670193	625900	1017431	932359	1100308	1237781	516464	1074238	887979	1512514	1458902	810822	1393853	895551	1006188	2049862	1100037	2834186	1752839	2569178	2774547
"nicotinamide"	3981661	6211377	5401754	4441349	4280894	5424110	5053858	6604286	5077498	3601279	4861644	4045666	6554536	6934985	6720471	6446639	5967879	7102750	3233169	6797061	7856468	5472729	8439571	6850403	5811292	5579726	5986870	3970963	5608932	6475888	7323279	9698195	7287539	5042880	6837815	7423275	8212043	9532263	7250873	8146267	7408822	6310207	12533872	14647314	11490513	10990112	16429355	12347269
"nicotinamide adenine dinucleotide (NAD+)"	5877781	5834348	5386179	5743688	5205226	5415670	5929474	4761666	5046466	5630307	4653066	5370105	8584282	8097277	7524427	8431206	8272009	8139233	5974065	5808503	7651618	7660636	7733684	7890077	6730201	6820238	6465745	6103718	6707996	5704157	9053457	9661851	10579926	6140548	10914255	11756167	8523985	8021274	8390864	7368102	7702847	7428317	12364042	11361263	13513906	14301956	14481184	14646232
"nicotinamide adenine dinucleotide reduced (NADH)"	368857	178830	345297	434413	414266	310944	488133	88489	315599	499533	452874	444819	409953	371414	884428	1072723	416311	629582	463377	373335	919334	830795	791137	935680	741075	672759	557373	742690	633017	757210	812247	588878	1887302	714379	1390580	2221296	1033855	842080	896847	982845	916084	831835	1440204	943864	4269366	3855466	2635413	3481382
"nicotinamide ribonucleotide (NMN)"	33436	NA	36207	19221	22870	25733	53228	69529	34487	24282	27711	NA	109703	127726	42362	84585	62070	126014	18664	NA	76950	46432	113867	58366	111000	47841	64259	36475	63287	95164	87960	107989	69635	57263	104318	113923	107831	159261	101836	128539	81936	92918	708693	107801	248750	191614	87136	291685
"nicotinamide riboside"	65415	146662	123140	64913	88080	104780	139042	141067	154248	117026	89968	76286	145068	196239	81310	182398	73342	189537	49308	130774	185401	85619	203948	72072	360889	138529	261520	137841	171401	316617	189384	203918	157713	92463	147979	184167	302525	245739	169606	332489	215150	228603	250609	105902	397254	278857	247316	351815
"O-methyltyrosine"	174769	344601	317225	166110	154194	263182	320535	150008	315197	237656	201730	220297	651255	592996	172260	579342	443002	630647	257352	413854	657055	347722	653720	346587	632185	256948	547491	310965	376137	578515	672243	760860	611266	370678	511369	525710	602446	529747	406485	629014	390287	399412	919236	214007	1068566	536507	783840	1079096
"octanoylcarnitine"	90221	173229	42339	63643	51975	43515	113586	254515	69540	84420	54384	63594	112474	110961	NA	NA	107364	123904	34834	52057	NA	NA	50057	NA	49820	74401	33961	48657	65112	70406	32633	41184	NA	NA	32864	NA	27053	31556	NA	NA	NA	33829	57877	51255	53029	40507	61275	43696
"oleamide"	1571155584	1584293760	1897207168	1652370688	1670834816	1779945472	2216355840	1643333632	3110133248	2136358784	2144957568	2271492864	2128638976	1567572352	1329297408	1655129984	1173860224	2264186112	1296413952	437482112	1715299456	1966921728	1770242560	1654323968	1371181312	1783987840	2470280448	1579058560	2425969664	1401150848	1673659520	1121930624	2342586880	1869884800	1889693696	1904007296	2829641984	1721970816	2645133568	2065843712	2173538048	1762308224	1772843776	1903753344	2001143680	2977134080	3102579712	2005993600
"oleoylcarnitine"	1605137	2620668	1177989	1334427	1522061	1517578	2708140	3205052	1883779	2231512	1639298	1194772	1147728	1067271	520530	480860	928816	697004	552861	382981	407049	479118	423560	422189	1192692	1426855	1086172	1486108	2023753	1682033	334723	316182	313047	166755	272756	364550	517948	614840	643008	407156	603905	596824	321558	336714	334498	363734	316118	277532
"ophthalmate"	79792	NA	157407	91781	93683	100811	161465	197648	164377	145130	NA	101527	84932	204177	92248	219976	106861	191903	NA	NA	153570	86149	219479	87911	185053	101473	151951	28171	NA	252268	148440	166244	106098	93534	121240	143013	306526	218774	121033	254570	NA	NA	312673	159868	586666	284040	326548	669451
"ornithine"	1172371	1387036	1684851	1186943	1356974	1419731	1720402	1878579	2565952	1275801	3062507	1164235	3555934	3823806	2670538	5188796	2688152	4006610	2074929	3197989	4351652	2782565	4863539	2535576	4343298	2144605	3514276	2403250	2417792	3205771	7749281	7973311	4858862	3149139	7264183	6823311	5889927	4805333	3619400	5781937	4622425	3980631	16904252	9220708	24070024	13262012	15987416	20905896
"orotate"	191023	179860	67328	121197	188544	196845	224247	205021	134197	192450	293251	239287	1465547	1263529	976590	1167982	1178809	991298	356977	331007	1803984	1844880	1522338	1674640	300048	305630	278257	244671	378418	309626	1015870	1150034	1651121	1314009	2176089	1737679	766302	529534	532379	395078	561527	402536	1736139	529885	2249936	2949220	3298461	2538001
"orotidine"	1174832	892736	711432	1043084	742043	754192	1129560	822266	862205	990241	818964	844606	2473403	2261900	1965189	2511779	1967482	2093066	1106897	1232759	2100775	2277127	2804049	2434257	1725583	2074947	1570426	1597447	1632040	1466890	4357617	4345050	5760187	2947691	5782559	5993223	3908731	2979378	3234214	3379853	2993127	2805274	7592627	6599789	6808362	9584387	8505502	7251385
"palmitic amide"	98471760	98886256	111187480	106765368	101515056	102573704	91375928	105936464	137671840	149270256	75963768	114497496	132282312	94685880	86603344	108716352	66769992	110355904	86449008	27109666	109077760	135330128	110503440	116575256	94950872	125078328	86687064	108886288	95760992	94681968	112787672	80395288	145626640	134469504	119883656	124330344	121060472	119453840	104735568	69968040	76225432	123790920	114661680	115419224	135665856	179895152	130506288	141700960
"palmitoleoylcarnitine*"	438803	818666	350832	293360	405676	419921	746679	1059522	517984	629790	485440	377572	370496	285535	120748	141734	306437	258503	144130	110552	108696	134417	145044	134845	250752	297791	263955	328240	408623	356464	NA	74907	NA	38941	77615	61761	83512	93765	93110	90573	106413	68592	76670	79160	84560	88208	50998	43960
"palmitoyl dihydrosphingomyelin (d18:0/16:0)*"	906188	818029	645444	828796	945798	1034801	996213	631637	532169	752994	734297	807002	557156	777307	869709	1009937	588387	746352	748220	798317	652596	1219027	631460	826034	412771	748217	451095	639594	869674	822877	1258546	1299579	1013472	756200	825826	1435419	851818	1115786	776052	833134	447286	821854	1229707	1557361	723016	1227345	1513874	1476020
"palmitoyl sphingomyelin (d18:1/16:0)"	26005296	20655228	20565600	25222092	24884242	27095122	29218836	18956492	18117736	24224582	21177268	24938246	17791680	22540502	27224002	33740592	20953246	24938320	22927672	23604308	24746966	39621828	20540184	27522818	17397796	26488850	19595024	26623236	33262410	33471336	36063200	39678608	37985816	24393816	29813504	50747524	30948944	38722644	25618006	29755256	20661550	34511920	41661708	50304868	37039700	47859668	63676584	64783336
"palmitoylcarnitine"	1318754	2525933	1009762	1140658	1392490	1420779	2289109	3109663	1710907	2195131	1513297	1248058	1221287	1124157	508243	616610	1149525	770930	613481	440276	453506	504884	534247	539039	1015805	1150450	894415	1236506	1541251	1371202	465282	524607	599244	368657	545255	686709	746694	631269	726899	485354	594419	645404	763056	658789	940427	1075513	847164	788964
"pantothenate"	92308912	192616416	180922336	88792728	134185328	136473136	196853488	207888032	198856928	110272448	124951328	97196864	193360176	222156496	125771296	219283600	137694016	210805648	140245968	148428688	220554976	114217248	251269072	115456472	300338272	160694064	255864832	163851760	195832704	290488576	195371440	209091904	136299424	97400792	159417168	128757992	244686816	230091808	138209360	228577216	150556608	134195352	188097952	80201008	188186576	139681792	111204264	192032672
"penicillin G"	950545	644902	1175017	1519523	1936684	822016	1447131	656441	1159618	1213906	8713343	1075353	1446381	1118277	1777801	1594050	1053559	1091626	1061568	816008	1310589	948428	1698486	930483	1405413	1106288	939565	996430	1229558	804848	1309091	1252434	1466744	814590	1704592	1535381	1104958	961161	782048	1002172	1802556	866540	1236312	928708	1983053	1761172	1742375	1789624
"phenol red"	96381	71941	184909	171485	220203	143618	162846	85417	172683	142696	770229	200252	133055	86560	205951	150582	89855	83645	91211	65973	128613	97959	176999	128556	183528	166519	172892	156510	186244	145332	140567	120501	132185	57132	214729	175118	165145	161381	189870	142822	288979	171841	173289	138030	214251	210295	259312	212744
"phenol sulfate"	36753	32959	29054	41813	39949	38436	39989	33851	61375	35852	43566	35752	NA	41232	34515	43612	49496	38095	37330	38771	38872	47946	36489	42882	72633	43054	50471	38372	52902	38495	41814	46165	31368	32018	62096	39948	52341	65599	59531	39225	77893	59491	49451	46127	66227	54155	73079	60237
"phenylacetylglycine"	407608	401459	467106	471363	486507	514395	473982	388486	418405	468623	590463	577561	798727	798690	766687	793609	791097	777768	723616	668172	857141	812058	878418	850440	988501	1081047	1057940	1034809	921242	905115	1338411	1385786	1506520	728414	1450668	1467741	1753825	1645988	1812648	1728087	1626592	1518122	1682712	1652765	1765203	1741591	1972948	1817075
"phenylalanine"	10344701	12567332	13751220	7492249	8448862	9280628	14337394	12689330	14643246	7871404	17039260	10846894	18447170	19126960	20110352	23576776	15462547	22050508	9453652	12108161	21241180	10763535	22987204	16378587	19115736	14085572	17020086	11060265	13027329	18580710	17563310	19019402	14960774	7384936	18313868	18053554	16835820	14595631	11951604	18499028	14050948	14432846	31709982	21827580	46469016	21057082	38805976	40599520
